,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,BLK_home,PF_home,STL_home,TO_home,BLK_away,PF_away,STL_away,TO_away,HOME_TEAM,VISITOR_TEAM
4174,2005,90.0,0.425,0.857,0.16,17.0,52.0,82.0,0.39799999999999996,0.583,0.23800000000000002,13.0,43.0,1,6.0,16.0,5.0,18.0,1.0,24.0,7.0,17.0,Suns,Raptors
4175,2004,106.0,0.488,0.625,0.452,24.0,47.0,94.0,0.488,0.5,0.4,11.0,38.0,1,5.0,16.0,9.0,16.0,4.0,22.0,8.0,18.0,Suns,Raptors
4176,2003,94.0,0.434,0.773,0.41700000000000004,19.0,34.0,101.0,0.493,0.87,0.389,20.0,46.0,0,0.0,19.0,10.0,12.0,5.0,21.0,5.0,16.0,Suns,Raptors
4177,2018,98.0,0.44,0.556,0.308,20.0,49.0,107.0,0.506,0.619,0.364,29.0,39.0,0,4.0,18.0,3.0,15.0,10.0,23.0,11.0,13.0,Suns,Raptors
4178,2017,109.0,0.446,0.794,0.33299999999999996,20.0,41.0,115.0,0.435,0.8390000000000001,0.34600000000000003,16.0,45.0,0,9.0,24.0,3.0,11.0,3.0,25.0,7.0,6.0,Suns,Raptors
4179,2016,99.0,0.446,0.696,0.429,20.0,47.0,91.0,0.4,0.828,0.259,10.0,43.0,1,4.0,28.0,10.0,20.0,5.0,24.0,12.0,18.0,Suns,Raptors
4180,2015,97.0,0.46799999999999997,0.733,0.387,23.0,38.0,104.0,0.473,0.7809999999999999,0.33299999999999996,15.0,35.0,0,4.0,26.0,5.0,16.0,3.0,22.0,9.0,12.0,Suns,Raptors
4181,2014,125.0,0.539,0.75,0.348,26.0,41.0,109.0,0.45799999999999996,0.828,0.34600000000000003,22.0,43.0,1,2.0,29.0,15.0,16.0,4.0,24.0,9.0,20.0,Suns,Raptors
4182,2013,93.0,0.551,0.7140000000000001,0.368,24.0,33.0,98.0,0.452,0.963,0.316,13.0,30.0,0,4.0,23.0,6.0,18.0,2.0,14.0,9.0,14.0,Magic,Raptors
4183,2012,95.0,0.4320000000000001,0.85,0.444,22.0,41.0,97.0,0.5,0.789,0.25,25.0,38.0,0,4.0,12.0,6.0,13.0,7.0,20.0,3.0,10.0,Magic,Raptors
